N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,강원랜드,"28,200",100,+0.36%,500,"60,331","213,940",19.52,"827,075",-64.09,-7.92,
61,코웨이,"79,600","1,200",+1.53%,500,"58,744","73,800",59.91,"128,750",13.79,31.51,
62,F&F,"739,000","4,000",+0.54%,500,"56,618","7,661",11.30,"39,563",N/A,N/A,
63,한국타이어앤테크놀로지,"44,900",200,-0.44%,500,"55,620","123,875",41.75,"167,900",9.01,5.12,
64,미래에셋증권,"8,730",10,-0.11%,"5,000","55,463","635,316",13.99,"812,182",6.63,8.94,
65,현대중공업지주,"68,600",200,+0.29%,"1,000","54,189","78,993",17.70,"189,496",-15.84,-8.12,
66,삼성엔지니어링,"26,850","2,700",+11.18%,"5,000","52,626","196,000",33.44,"19,609,743",16.67,17.32,
67,오리온,"129,500","5,000",+4.02%,500,"51,199","39,536",39.41,"298,236",21.24,15.50,
68,LG이노텍,"215,500","12,000",-5.27%,"5,000","51,003","23,667",28.50,"451,514",9.33,10.20,
69,맥쿼리인프라,"12,500",50,-0.40%,0,"50,606","404,846",14.47,"1,122,030",N/A,N/A,
70,KODEX 200,"41,325",60,+0.15%,0,"49,797","120,500",3.91,"2,909,690",N/A,N/A,
71,에스디바이오센서,"47,900","3,300",+7.40%,500,"49,467","103,271",2.37,"2,333,593",7.26,139.97,
72,한국금융지주,"88,100",400,-0.45%,"5,000","49,095","55,726",34.81,"201,758",4.19,16.27,
73,한미사이언스,"71,200",500,-0.70%,500,"47,921","67,305",1.44,"76,766",156.83,3.47,
74,메리츠금융지주,"35,600","1,350",-3.65%,500,"47,708","134,011",8.20,"324,278",7.71,16.06,
75,이마트,"169,500","1,000",-0.59%,"5,000","47,250","27,876",35.14,"101,124",8.37,4.05,
76,유한양행,"65,400",600,+0.93%,"1,000","45,762","69,973",17.87,"187,947",47.56,11.06,
77,아모레G,"53,200",600,-1.12%,500,"43,868","82,458",16.88,"108,288",33.89,0.31,
78,DB손해보험,"61,800",300,+0.49%,500,"43,754","70,800",42.90,"108,493",6.34,9.08,
79,삼성증권,"48,900",250,-0.51%,"5,000","43,668","89,300",30.10,"202,379",4.78,9.89,
80,한진칼,"64,400",300,-0.46%,"2,500","42,980","66,739",15.01,"84,345",-43.96,-19.55,
81,쌍용C&E,"8,480",50,-0.59%,100,"42,727","503,860",3.80,"623,584",27.35,7.92,
82,녹십자,"363,000","5,000",+1.40%,"5,000","42,422","11,687",21.38,"87,901",45.39,7.48,
83,두산밥캣,"41,750",750,-1.76%,500,"41,854","100,249",25.69,"114,283",10.98,6.15,
84,삼성중공업,"6,640",10,+0.15%,"1,000","41,832","630,000",14.64,"6,264,101",-2.72,-33.06,
85,KCC,"455,500","8,500",-1.83%,"5,000","40,478","8,886",13.27,"38,104",4.74,12.79,
86,GS,"43,000",50,-0.12%,"5,000","39,954","92,915",19.29,"193,815",4.89,-2.82,
87,삼성카드,"34,200",100,+0.29%,"5,000","39,624","115,859",8.20,"91,065",8.65,5.69,
88,팬오션,"7,380",110,-1.47%,"1,000","39,451","534,570",12.01,"3,127,142",22.64,3.25,
89,CJ대한통운,"170,500",0,0.00%,"5,000","38,895","22,812",23.00,"25,734",111.73,3.89,
90,한솔케미칼,"341,500","14,500",+4.43%,"5,000","38,710","11,335",41.46,"112,541",27.19,24.50,
91,일진머티리얼즈,"83,900",0,0.00%,500,"38,687","46,111",10.37,"769,560",81.30,7.23,
92,GS건설,"45,000",250,+0.56%,"5,000","38,512","85,581",26.42,"583,902",11.87,7.68,
